Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,408
  scalars                 : 12
  total                   : 26,346,060
Estimated FLOPs per token: 9.673459e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011249 | lrm: 1.00 | dt: 1466ms | tok/sec: 11,178 | mfu: 7.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.934780 | lrm: 1.00 | dt: 340ms | tok/sec: 48,164 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.681718 | lrm: 1.00 | dt: 298ms | tok/sec: 55,050 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.338754 | lrm: 1.00 | dt: 298ms | tok/sec: 54,962 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.028771 | lrm: 1.00 | dt: 298ms | tok/sec: 54,976 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.775651 | lrm: 1.00 | dt: 298ms | tok/sec: 55,036 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.555651 | lrm: 1.00 | dt: 298ms | tok/sec: 54,990 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.381238 | lrm: 1.00 | dt: 298ms | tok/sec: 55,037 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.240231 | lrm: 1.00 | dt: 299ms | tok/sec: 54,867 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.112508 | lrm: 1.00 | dt: 298ms | tok/sec: 55,045 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.993913 | lrm: 1.00 | dt: 298ms | tok/sec: 54,982 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.904808 | lrm: 1.00 | dt: 298ms | tok/sec: 55,029 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.823026 | lrm: 1.00 | dt: 298ms | tok/sec: 54,970 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.750104 | lrm: 1.00 | dt: 299ms | tok/sec: 54,817 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.683253 | lrm: 1.00 | dt: 298ms | tok/sec: 55,012 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.623417 | lrm: 1.00 | dt: 298ms | tok/sec: 54,930 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.566388 | lrm: 1.00 | dt: 298ms | tok/sec: 54,894 | mfu: 35.4% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 6.511739 | lrm: 1.00 | dt: 299ms | tok/sec: 54,867 | mfu: 35.4% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 6.454023 | lrm: 1.00 | dt: 298ms | tok/sec: 54,951 | mfu: 35.4% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 6.396789 | lrm: 1.00 | dt: 299ms | tok/sec: 54,775 | mfu: 35.3% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 6.336336 | lrm: 1.00 | dt: 300ms | tok/sec: 54,584 | mfu: 35.2% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 6.301619 | lrm: 1.00 | dt: 299ms | tok/sec: 54,868 | mfu: 35.4% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 6.273644 | lrm: 1.00 | dt: 298ms | tok/sec: 54,908 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00023 (1.2%) | loss: 6.243512 | lrm: 1.00 | dt: 299ms | tok/sec: 54,865 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00024 (1.3%) | loss: 6.214990 | lrm: 1.00 | dt: 299ms | tok/sec: 54,822 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00025 (1.4%) | loss: 6.185408 | lrm: 1.00 | dt: 298ms | tok/sec: 54,888 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00026 (1.5%) | loss: 6.151250 | lrm: 1.00 | dt: 298ms | tok/sec: 54,896 | mfu: 35.4% | epoch: 1 | remaining: 295s    
step 00027 (1.6%) | loss: 6.123656 | lrm: 1.00 | dt: 298ms | tok/sec: 54,907 | mfu: 35.4% | epoch: 1 | remaining: 295s    
step 00028 (1.7%) | loss: 6.086735 | lrm: 1.00 | dt: 299ms | tok/sec: 54,880 | mfu: 35.4% | epoch: 1 | remaining: 295s    
step 00029 (1.8%) | loss: 6.061538 | lrm: 1.00 | dt: 299ms | tok/sec: 54,856 | mfu: 35.4% | epoch: 1 | remaining: 294s    
step 00030 (1.9%) | loss: 6.037059 | lrm: 1.00 | dt: 297ms | tok/sec: 55,091 | mfu: 35.5% | epoch: 1 | remaining: 294s    
step 00031 (2.0%) | loss: 6.006517 | lrm: 1.00 | dt: 298ms | tok/sec: 54,948 | mfu: 35.4% | epoch: 1 | remaining: 294s    
step 00032 (2.1%) | loss: 5.978369 | lrm: 1.00 | dt: 300ms | tok/sec: 54,632 | mfu: 35.2% | epoch: 1 | remaining: 293s    
step 00033 (2.2%) | loss: 5.960481 | lrm: 1.00 | dt: 298ms | tok/sec: 55,040 | mfu: 35.5% | epoch: 1 | remaining: 293s    
step 00034 (2.3%) | loss: 5.937959 | lrm: 1.00 | dt: 298ms | tok/sec: 54,936 | mfu: 35.4% | epoch: 1 | remaining: 293s    
step 00035 (2.4%) | loss: 5.912246 | lrm: 1.00 | dt: 299ms | tok/sec: 54,720 | mfu: 35.3% | epoch: 1 | remaining: 293s    
step 00036 (2.5%) | loss: 5.898082 | lrm: 1.00 | dt: 300ms | tok/sec: 54,701 | mfu: 35.3% | epoch: 1 | remaining: 292s    
step 00037 (2.6%) | loss: 5.874842 | lrm: 1.00 | dt: 299ms | tok/sec: 54,844 | mfu: 35.4% | epoch: 1 | remaining: 292s    
step 00038 (2.7%) | loss: 5.845501 | lrm: 1.00 | dt: 299ms | tok/sec: 54,801 | mfu: 35.3% | epoch: 1 | remaining: 292s    
step 00039 (2.8%) | loss: 5.836087 | lrm: 1.00 | dt: 299ms | tok/sec: 54,722 | mfu: 35.3% | epoch: 1 | remaining: 291s    
step 00040 (2.9%) | loss: 5.830790 | lrm: 1.00 | dt: 299ms | tok/sec: 54,758 | mfu: 35.3% | epoch: 1 | remaining: 291s    
step 00041 (3.0%) | loss: 5.809009 | lrm: 1.00 | dt: 299ms | tok/sec: 54,755 | mfu: 35.3% | epoch: 1 | remaining: 291s    
step 00042 (3.1%) | loss: 5.796698 | lrm: 1.00 | dt: 299ms | tok/sec: 54,834 | mfu: 35.4% | epoch: 1 | remaining: 290s    
step 00043 (3.2%) | loss: 5.776823 | lrm: 1.00 | dt: 299ms | tok/sec: 54,853 | mfu: 35.4% | epoch: 1 | remaining: 290s    
step 00044 (3.3%) | loss: 5.763930 | lrm: 1.00 | dt: 300ms | tok/sec: 54,549 | mfu: 35.2% | epoch: 1 | remaining: 290s    
step 00045 (3.4%) | loss: 5.747453 | lrm: 1.00 | dt: 298ms | tok/sec: 54,964 | mfu: 35.4% | epoch: 1 | remaining: 290s    
step 00046 (3.5%) | loss: 5.736612 | lrm: 1.00 | dt: 298ms | tok/sec: 54,933 | mfu: 35.4% | epoch: 1 | remaining: 289s    
step 00047 (3.6%) | loss: 5.732653 | lrm: 1.00 | dt: 299ms | tok/sec: 54,871 | mfu: 35.4% | epoch: 1 | remaining: 289s    
step 00048 (3.7%) | loss: 5.724858 | lrm: 1.00 | dt: 299ms | tok/sec: 54,880 | mfu: 35.4% | epoch: 1 | remaining: 289s    
step 00049 (3.8%) | loss: 5.710348 | lrm: 1.00 | dt: 299ms | tok/sec: 54,760 | mfu: 35.3% | epoch: 1 | remaining: 288s    
step 00050 (3.9%) | loss: 5.693022 | lrm: 1.00 | dt: 299ms | tok/sec: 54,775 | mfu: 35.3% | epoch: 1 | remaining: 288s    
step 00051 (4.0%) | loss: 5.679373 | lrm: 1.00 | dt: 298ms | tok/sec: 54,920 | mfu: 35.4% | epoch: 1 | remaining: 288s    
step 00052 (4.1%) | loss: 5.658973 | lrm: 1.00 | dt: 299ms | tok/sec: 54,865 | mfu: 35.4% | epoch: 1 | remaining: 287s    
step 00053 (4.2%) | loss: 5.644625 | lrm: 1.00 | dt: 299ms | tok/sec: 54,849 | mfu: 35.4% | epoch: 1 | remaining: 287s    
step 00054 (4.3%) | loss: 5.636928 | lrm: 1.00 | dt: 298ms | tok/sec: 55,000 | mfu: 35.5% | epoch: 1 | remaining: 287s    
step 00055 (4.4%) | loss: 5.631832 | lrm: 1.00 | dt: 298ms | tok/sec: 54,924 | mfu: 35.4% | epoch: 1 | remaining: 287s    
step 00056 (4.5%) | loss: 5.616672 | lrm: 1.00 | dt: 298ms | tok/sec: 54,889 | mfu: 35.4% | epoch: 1 | remaining: 286s    
step 00057 (4.6%) | loss: 5.607043 | lrm: 1.00 | dt: 298ms | tok/sec: 55,004 | mfu: 35.5% | epoch: 1 | remaining: 286s    
step 00058 (4.7%) | loss: 5.600831 | lrm: 1.00 | dt: 298ms | tok/sec: 54,947 | mfu: 35.4% | epoch: 1 | remaining: 286s    
step 00059 (4.8%) | loss: 5.589497 | lrm: 1.00 | dt: 298ms | tok/sec: 54,903 | mfu: 35.4% | epoch: 1 | remaining: 285s    
step 00060 (4.9%) | loss: 5.573444 | lrm: 1.00 | dt: 299ms | tok/sec: 54,807 | mfu: 35.3% | epoch: 1 | remaining: 285s    
step 00061 (5.0%) | loss: 5.562480 | lrm: 1.00 | dt: 298ms | tok/sec: 55,002 | mfu: 35.5% | epoch: 1 | remaining: 285s    
step 00062 (5.1%) | loss: 5.550424 | lrm: 1.00 | dt: 298ms | tok/sec: 54,891 | mfu: 35.4% | epoch: 1 | remaining: 284s    
step 00063 (5.2%) | loss: 5.542013 | lrm: 1.00 | dt: 299ms | tok/sec: 54,857 | mfu: 35.4% | epoch: 1 | remaining: 284s    
step 00064 (5.3%) | loss: 5.521336 | lrm: 1.00 | dt: 298ms | tok/sec: 54,961 | mfu: 35.4% | epoch: 1 | remaining: 284s    
step 00065 (5.4%) | loss: 5.502116 | lrm: 1.00 | dt: 299ms | tok/sec: 54,825 | mfu: 35.4% | epoch: 1 | remaining: 284s    
step 00066 (5.5%) | loss: 5.495563 | lrm: 1.00 | dt: 298ms | tok/sec: 54,981 | mfu: 35.5% | epoch: 1 | remaining: 283s    
step 00067 (5.6%) | loss: 5.489723 | lrm: 1.00 | dt: 298ms | tok/sec: 54,912 | mfu: 35.4% | epoch: 1 | remaining: 283s    
step 00068 (5.7%) | loss: 5.483225 | lrm: 1.00 | dt: 298ms | tok/sec: 54,960 | mfu: 35.4% | epoch: 1 | remaining: 283s    
step 00069 (5.8%) | loss: 5.489629 | lrm: 1.00 | dt: 299ms | tok/sec: 54,860 | mfu: 35.4% | epoch: 1 | remaining: 282s    
step 00070 (5.9%) | loss: 5.479113 | lrm: 1.00 | dt: 298ms | tok/sec: 54,981 | mfu: 35.5% | epoch: 1 | remaining: 282s    
step 00071 (6.0%) | loss: 5.472019 | lrm: 1.00 | dt: 298ms | tok/sec: 54,948 | mfu: 35.4% | epoch: 1 | remaining: 282s    
step 00072 (6.1%) | loss: 5.464715 | lrm: 1.00 | dt: 298ms | tok/sec: 54,944 | mfu: 35.4% | epoch: 1 | remaining: 281s    
step 00073 (6.2%) | loss: 5.460819 | lrm: 1.00 | dt: 298ms | tok/sec: 54,997 | mfu: 35.5% | epoch: 1 | remaining: 281s    
step 00074 (6.3%) | loss: 5.452342 | lrm: 1.00 | dt: 298ms | tok/sec: 54,891 | mfu: 35.4% | epoch: 1 | remaining: 281s    
step 00075 (6.4%) | loss: 5.449273 | lrm: 1.00 | dt: 298ms | tok/sec: 54,957 | mfu: 35.4% | epoch: 1 | remaining: 281s    
step 00076 (6.5%) | loss: 5.439198 | lrm: 1.00 | dt: 299ms | tok/sec: 54,869 | mfu: 35.4% | epoch: 1 | remaining: 280s    
