iter	val_bpb	best_val_bpb	memory_gb	status	description	timestamp
1	1.339169	1.339169	4.2	keep	baseline	2026-03-10T05:22:06
2	1.325742	1.325742	3.6	keep	replace ReLU squared with GELU activation	2026-03-10T05:28:26
3	1.324334	1.324334	3.8	keep	SwiGLU MLP (gated linear unit with SiLU)	2026-03-10T05:35:19
4	1.379137	1.324334	5.3	discard	increase depth from 6 to 8	2026-03-10T05:41:55
5	1.345469	1.324334	4.8	discard	increase aspect ratio from 64 to 96 (wider model)	2026-03-10T05:48:42
6	1.327226	1.324334	3.8	discard	increase matrix LR from 0.04 to 0.06	2026-03-10T05:55:43
7	1.352053	1.324334	2.0	discard	halve batch size to 8K tokens (more steps)	2026-03-10T06:02:20
8	1.319007	1.319007	3.9	keep	double batch size to 32K tokens	2026-03-10T06:07:56
9	1.316956	1.316956	3.9	keep	increase matrix LR from 0.04 to 0.05	2026-03-10T06:14:21
10	1.326761	1.316956	3.9	discard	increase batch size to 64K tokens	2026-03-10T06:21:01
11	1.324848	1.316956	3.9	discard	add 5% LR warmup	2026-03-10T06:27:40
12	1.314805	1.314805	3.9	keep	increase warmdown ratio from 0.5 to 0.7	2026-03-10T06:34:06
13	1.314330	1.314330	3.9	keep	increase warmdown ratio from 0.7 to 0.85	2026-03-10T06:39:39
14	1.314924	1.314330	3.9	discard	reduce weight decay from 0.2 to 0.1	2026-03-10T06:45:50
15	1.316188	1.314330	3.9	discard	increase logit softcap from 15 to 30	2026-03-10T06:52:21
16	1.314750	1.314330	3.9	discard	increase embedding LR from 0.6 to 1.0	2026-03-10T06:58:34
17	1.311998	1.311998	3.9	keep	set final LR fraction to 0.1 (not zero)	2026-03-10T07:04:53
18	1.315966	1.311998	3.9	discard	increase final LR fraction to 0.2	2026-03-10T07:10:24
19	1.328655	1.311998	3.8	discard	remove value embeddings	2026-03-10T07:17:59
20	1.313070	1.311998	3.9	discard	cosine LR decay instead of linear warmdown	2026-03-10T07:24:35
21	1.310499	1.310499	7.4	keep	increase device batch size to 64 (no grad accum)	2026-03-10T07:30:48
22	1.309390	1.309390	7.4	keep	increase unembedding LR from 0.004 to 0.008	2026-03-10T07:37:07
23	1.314436	1.309390	7.4	discard	increase unembedding LR to 0.016	2026-03-10T07:42:41
24	1.324724	1.309390	7.4	discard	reduce Muon ns_steps from 5 to 3	2026-03-10T07:49:03
25	1.312363	1.309390	7.4	discard	change Adam beta1 from 0.8 to 0.9	2026-03-10T07:55:24
26	0.000000	1.309390	0.0	crash	weight tying (assertion error in optimizer setup)	2026-03-10T07:58:40
