Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011387 | lrm: 1.00 | dt: 1918ms | tok/sec: 17,087 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.227638 | lrm: 1.00 | dt: 403ms | tok/sec: 81,312 | mfu: 52.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.006374 | lrm: 1.00 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.588782 | lrm: 1.00 | dt: 367ms | tok/sec: 89,373 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.208686 | lrm: 1.00 | dt: 367ms | tok/sec: 89,259 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.953754 | lrm: 1.00 | dt: 366ms | tok/sec: 89,561 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.722742 | lrm: 1.00 | dt: 366ms | tok/sec: 89,629 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.535211 | lrm: 1.00 | dt: 367ms | tok/sec: 89,293 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.372522 | lrm: 1.00 | dt: 366ms | tok/sec: 89,577 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.211603 | lrm: 1.00 | dt: 367ms | tok/sec: 89,199 | mfu: 57.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.064425 | lrm: 1.00 | dt: 366ms | tok/sec: 89,435 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.956492 | lrm: 1.00 | dt: 366ms | tok/sec: 89,604 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.859335 | lrm: 1.00 | dt: 368ms | tok/sec: 89,163 | mfu: 57.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.764393 | lrm: 1.00 | dt: 365ms | tok/sec: 89,789 | mfu: 57.9% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.673050 | lrm: 1.00 | dt: 365ms | tok/sec: 89,814 | mfu: 57.9% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 6.596899 | lrm: 1.00 | dt: 366ms | tok/sec: 89,419 | mfu: 57.7% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.531912 | lrm: 1.00 | dt: 365ms | tok/sec: 89,895 | mfu: 58.0% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 6.465474 | lrm: 1.00 | dt: 366ms | tok/sec: 89,470 | mfu: 57.7% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 6.408594 | lrm: 1.00 | dt: 368ms | tok/sec: 89,155 | mfu: 57.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 6.352333 | lrm: 1.00 | dt: 364ms | tok/sec: 89,907 | mfu: 58.0% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 6.306437 | lrm: 1.00 | dt: 366ms | tok/sec: 89,491 | mfu: 57.7% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | loss: 6.258381 | lrm: 1.00 | dt: 367ms | tok/sec: 89,372 | mfu: 57.6% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 6.213648 | lrm: 1.00 | dt: 366ms | tok/sec: 89,610 | mfu: 57.8% | epoch: 1 | remaining: 296s    
step 00023 (1.5%) | loss: 6.177190 | lrm: 1.00 | dt: 367ms | tok/sec: 89,168 | mfu: 57.5% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 6.142924 | lrm: 1.00 | dt: 365ms | tok/sec: 89,698 | mfu: 57.8% | epoch: 1 | remaining: 295s    
step 00025 (1.7%) | loss: 6.106002 | lrm: 1.00 | dt: 366ms | tok/sec: 89,529 | mfu: 57.7% | epoch: 1 | remaining: 295s    
step 00026 (1.8%) | loss: 6.066578 | lrm: 1.00 | dt: 368ms | tok/sec: 89,067 | mfu: 57.4% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 6.041431 | lrm: 1.00 | dt: 365ms | tok/sec: 89,664 | mfu: 57.8% | epoch: 1 | remaining: 294s    
step 00028 (2.1%) | loss: 6.010881 | lrm: 1.00 | dt: 365ms | tok/sec: 89,755 | mfu: 57.9% | epoch: 1 | remaining: 293s    
step 00029 (2.2%) | loss: 5.985912 | lrm: 1.00 | dt: 369ms | tok/sec: 88,820 | mfu: 57.3% | epoch: 1 | remaining: 293s    
step 00030 (2.3%) | loss: 5.956853 | lrm: 1.00 | dt: 366ms | tok/sec: 89,617 | mfu: 57.8% | epoch: 1 | remaining: 293s    
